"000001.SZ","银行","股份制与城商行"
"000002.SZ","房地产","房地产开发管理"
"000004.SZ","医药","化学制药"
"000005.SZ","房地产","房地产开发管理"
"000006.SZ","房地产","房地产开发管理"
"000007.SZ","餐饮旅游","酒店及餐饮"
"000008.SZ","商贸零售","贸易"
"000009.SZ","房地产","房地产开发管理"
"000010.SZ","机械","其他专用设备"
"000011.SZ","房地产","房地产开发管理"
"000012.SZ","建材","其他建材"
"000014.SZ","房地产","房地产开发管理"
"000016.SZ","家电","黑色家电"
"000017.SZ","机械","运输设备"
"000018.SZ","纺织服装","纺织制造"
"000019.SZ","食品饮料","其他饮料"
"000020.SZ","电子元器件","其他元器件"
"000021.SZ","电子元器件","电子设备"
"000022.SZ","交通运输","航运港口"
"000023.SZ","房地产","房地产开发管理"
"000024.SZ","房地产","房地产开发管理"
"000025.SZ","汽车","汽车销售及服务"
"000026.SZ","轻工制造","其他轻工"
"000027.SZ","电力及公用事业","发电及电网"
"000028.SZ","医药","其他医药医疗"
"000029.SZ","房地产","房地产开发管理"
"000030.SZ","综合","综合"
"000031.SZ","房地产","房地产开发管理"
"000032.SZ","电子元器件","其他元器件"
"000033.SZ","餐饮旅游","酒店及餐饮"
"000034.SZ","综合","综合"
"000035.SZ","通信","通信设备制造"
"000036.SZ","石油石化","石油化工"
"000037.SZ","电力及公用事业","发电及电网"
"000038.SZ","房地产","房地产开发管理"
"000039.SZ","机械","通用设备"
"000040.SZ","房地产","房地产开发管理"
"000042.SZ","房地产","房地产开发管理"
"000043.SZ","机械","运输设备"
"000045.SZ","电子元器件","其他元器件"
"000046.SZ","房地产","房地产开发管理"
"000048.SZ","农林牧渔","牧业"
"000049.SZ","轻工制造","其他轻工"
"000050.SZ","电子元器件","其他元器件"
"000055.SZ","建材","其他建材"
"000056.SZ","商贸零售","零售"
"000058.SZ","电子元器件","其他元器件"
"000059.SZ","石油石化","石油化工"
"000060.SZ","有色金属","工业金属"
"000061.SZ","农林牧渔","农业"
"000062.SZ","电子元器件","电子设备"
"000063.SZ","通信","通信设备制造"
"000065.SZ","建筑","建筑施工"
"000066.SZ","计算机","计算机硬件"
"000068.SZ","电子元器件","其他元器件"
"000069.SZ","房地产","房地产开发管理"
"000070.SZ","通信","通信设备制造"
"000078.SZ","医药","生物医药"
"000088.SZ","交通运输","航运港口"
"000089.SZ","交通运输","航空机场"
"000090.SZ","房地产","房地产开发管理"
"000096.SZ","石油石化","石油化工"
"000099.SZ","交通运输","航空机场"
"000100.SZ","家电","黑色家电"
"000150.SZ","房地产","房地产开发管理"
"000151.SZ","商贸零售","贸易"
"000153.SZ","医药","化学制药"
"000155.SZ","基础化工","农用化工"
"000156.SZ","建材","其他建材"
"000157.SZ","机械","工程机械"
"000158.SZ","纺织服装","纺织制造"
"000159.SZ","煤炭","煤炭化工"
"000166.SZ","非银行金融","证券"
"000301.SZ","纺织服装","纺织制造"
"000333.SZ","家电","白色家电"
"000338.SZ","汽车","汽车零部件"
"000400.SZ","电力设备","输变电设备"
"000401.SZ","建材","水泥"
"000402.SZ","房地产","房地产开发管理"
"000403.SZ","医药","生物医药"
"000404.SZ","家电","白色家电"
"000407.SZ","基础化工","化学制品"
"000408.SZ","建材","其他建材"
"000409.SZ","综合","综合"
"000410.SZ","机械","通用设备"
"000411.SZ","医药","其他医药医疗"
"000413.SZ","电子元器件","其他元器件"
"000415.SZ","综合","综合"
"000416.SZ","综合","综合"
"000417.SZ","商贸零售","零售"
"000418.SZ","家电","白色家电"
"000419.SZ","商贸零售","零售"
"000420.SZ","基础化工","合成纤维及树脂"
"000421.SZ","交通运输","公交物流"
"000422.SZ","基础化工","农用化工"
"000423.SZ","医药","中药生产"
"000425.SZ","机械","工程机械"
"000426.SZ","有色金属","稀有金属"
"000428.SZ","餐饮旅游","酒店及餐饮"
"000429.SZ","交通运输","公路铁路"
"000430.SZ","餐饮旅游","景区和旅行社"
"000488.SZ","轻工制造","造纸"
"000498.SZ","基础化工","合成纤维及树脂"
"000501.SZ","商贸零售","零售"
"000502.SZ","房地产","房地产开发管理"
"000503.SZ","医药","其他医药医疗"
"000504.SZ","通信","通信设备制造"
"000505.SZ","房地产","房地产开发管理"
"000506.SZ","轻工制造","造纸"
"000507.SZ","综合","综合"
"000509.SZ","建材","其他建材"
"000510.SZ","基础化工","化学原料"
"000511.SZ","房地产","房地产开发管理"
"000513.SZ","医药","生物医药"
"000514.SZ","房地产","房地产开发管理"
"000516.SZ","商贸零售","零售"
"000517.SZ","机械","仪器仪表"
"000518.SZ","纺织服装","纺织制造"
"000519.SZ","国防军工","兵器兵装"
"000520.SZ","交通运输","航运港口"
"000521.SZ","家电","白色家电"
"000522.SZ","医药","生物医药"
"000523.SZ","基础化工","化学制品"
"000524.SZ","餐饮旅游","酒店及餐饮"
"000525.SZ","基础化工","农用化工"
"000526.SZ","轻工制造","造纸"
"000527.SZ","家电","白色家电"
"000528.SZ","机械","工程机械"
"000529.SZ","食品饮料","食品"
"000530.SZ","机械","通用设备"
"000531.SZ","电力及公用事业","发电及电网"
"000532.SZ","电子元器件","其他元器件"
"000533.SZ","电力设备","输变电设备"
"000534.SZ","房地产","房地产开发管理"
"000536.SZ","电子元器件","其他元器件"
"000537.SZ","房地产","房地产开发管理"
"000538.SZ","医药","中药生产"
"000539.SZ","电力及公用事业","发电及电网"
"000540.SZ","房地产","房地产开发管理"
"000541.SZ","家电","照明设备及其他"
"000543.SZ","电力及公用事业","发电及电网"
"000544.SZ","电力及公用事业","环保及公用事业"
"000545.SZ","医药","生物医药"
